Index,word,word freq,texts,freq/texts,entire corp,expected
213,BEAR,6,2,2.8,"7,353",2.1
214,WAR,6,2,0.5,"41,439",11.9
215,WARRIOR,6,2,7.7,"2,698",0.8
216,SUMMER,6,2,1.6,"12,991",3.7
217,SUNLIGHT,6,2,17.6,"1,189",0.3
218,LEADER,6,2,2.7,"7,827",2.2
219,FOREST,6,2,3.7,"5,612",1.6
220,FOLK,6,2,11.3,"1,849",0.5
221,VENOM,6,2,39.7,526,0.2
222,SONG,6,2,0.9,"22,737",6.5
223,FORCE,6,1,1.8,"11,329",3.3
224,GATE,6,1,3.1,"6,764",1.9
225,WEBSITE,6,1,13.8,"1,510",0.4
226,BASEBALL,6,1,4.5,"4,616",1.3
227,STAR,5,4,1,"16,623",4.8
228,TOUCH,5,4,2.7,"6,430",1.8
229,COUSIN,5,4,1.9,"9,070",2.6
230,CHANGE,5,4,1.2,"14,462",4.2
231,CALL,5,4,0.6,"26,903",7.7
232,FISHING,5,4,3.8,"4,600",1.3
233,FEEL,5,4,3.1,"5,554",1.6
234,HALF,5,4,2.4,"7,215",2.1
235,LIGHT,5,4,0.7,"24,804",7.1
236,MILE,5,4,3.9,"4,455",1.3
237,MEAL,5,4,3.6,"4,824",1.4
238,RULE,5,4,2.8,"6,320",1.8
239,SITUATION,5,4,1.1,"15,412",4.4
240,SECRET,5,3,1.7,"10,066",2.9
241,RIDE,5,3,1.2,"13,981",4
242,MUSIC,5,3,0.5,"38,490",11.1
243,PAPER,5,3,1,"17,024",4.9
244,SKY,5,3,1.6,"10,955",3.1
245,GUEST,5,3,2.6,"6,762",1.9
246,DARK,5,3,2.1,"8,357",2.4
247,LEGEND,5,3,4.4,"3,991",1.1
248,ACTION,5,3,1.4,"12,365",3.6
249,FEELING,5,3,1.2,"14,107",4.1
250,BONE,5,3,3.7,"4,768",1.4
251,SURPRISE,5,3,1.4,"12,466",3.6
252,BIRTH,5,3,3.1,"5,656",1.6
253,BLOODSUCKER,5,3,209.8,83,0
254,WINDOW,5,3,1.1,"15,931",4.6
255,TRAINING,5,3,2.7,"6,386",1.8
256,CONDITION,5,3,2.6,"6,701",1.9
257,CLIFF,5,3,5.4,"3,198",0.9
258,CLOTHES,5,3,0.9,"18,762",5.4
259,STONE,5,3,1.8,"9,424",2.7
260,HISTORY,5,3,0.9,"18,500",5.3
261,STRANGER,5,2,3.8,"4,538",1.3
262,WEAPON,5,2,2.2,"8,073",2.3
263,WEEKEND,5,2,1.6,"10,888",3.1
264,CLOUD,5,2,6.1,"2,864",0.8
265,BOAT,5,2,0.9,"20,133",5.8
266,ALLY,5,2,15.2,"1,148",0.3
267,LION,5,2,4.5,"3,865",1.1
268,EXPERIENCE,5,2,1.6,"10,589",3
269,GUARD,5,2,2.3,"7,558",2.2
270,MARRIAGE,5,2,1.3,"13,106",3.8
271,OPINION,5,2,2.3,"7,426",2.1
272,KITCHEN,5,2,1.7,"10,463",3
273,MORPHINE,5,2,24.3,718,0.2
274,SAFETY,5,2,2.7,"6,491",1.9
275,INN,5,1,11,"1,590",0.5
276,LOG,5,1,11.5,"1,511",0.4
277,LETTER,5,1,1.1,"16,261",4.7
278,SUN,5,1,1,"17,520",5
279,COUNTRY,5,1,0.5,"37,136",10.7
280,BIKE,5,1,3.1,"5,574",1.6
281,WIZARD,5,1,8.5,"2,051",0.6
282,SAKE,4,4,1,"14,574",4.2
283,PEACE,4,4,0.8,"16,610",4.8
284,OFFICE,4,4,0.4,"32,667",9.4
285,MEMBER,4,4,2.3,"5,968",1.7
286,FAVORITE,4,4,4.2,"3,299",0.9
287,FEAR,4,4,1.4,"10,176",2.9
288,EAR,4,4,2.5,"5,528",1.6
289,GO,4,4,0.9,"14,849",4.3
290,SOUND,4,4,0.9,"14,889",4.3
291,STUDENT,4,4,2,"6,843",2
292,TOOTH,4,3,5.3,"2,610",0.7
293,THREAT,4,3,3.3,"4,186",1.2
294,THANKS,4,3,0.1,"104,751",30.1
295,GOOD-BYE,4,3,12,"1,157",0.3
296,MIDDLE,4,3,1,"14,220",4.1
297,HONOR,4,3,1,"14,291",4.1
298,CREATURE,4,3,2.8,"5,052",1.5
299,TREE,4,3,1,"14,349",4.1
300,FIELD,4,3,1,"13,696",3.9
301,BAG,4,3,0.8,"17,489",5
302,NOTE,4,3,1.7,"7,973",2.3
303,MATE,4,3,1,"14,462",4.2
304,LEG,4,3,1.2,"11,248",3.2
305,MOUNTAIN,4,3,1.6,"8,600",2.5
306,PLANE,4,3,0.9,"15,887",4.6
307,PROTECTION,4,3,2.9,"4,856",1.4
308,SHADOW,4,3,3.2,"4,312",1.2
309,SHOW,4,3,0.4,"37,725",10.8
310,SEARCH,4,3,2.9,"4,847",1.4
311,SEAT,4,3,1,"13,613",3.9
312,RUN,4,3,1.6,"8,514",2.4
313,RING,4,3,1.1,"12,361",3.5
314,RESPECT,4,3,1.5,"9,069",2.6
315,PLAY,4,2,1.1,"13,153",3.8
316,PLAYER,4,2,2,"7,125",2
317,MUSHROOM,4,2,26.3,529,0.2
318,PROMISE,4,2,2.5,"5,493",1.6
319,PROOF,4,2,2.4,"5,912",1.7
320,BALL,4,2,0.7,"20,174",5.8
321,BUSINESS,4,2,0.2,"59,208",17
322,FINGER,4,2,2,"7,032",2
323,ADVENTURE,4,2,4,"3,497",1
324,ANKLE,4,2,10.2,"1,372",0.4
325,ART,4,2,0.9,"16,279",4.7
326,TURN,4,2,1.2,"11,903",3.4
327,CLAN,4,2,12.8,"1,092",0.3
328,CENTER,4,2,1.6,"8,559",2.5
329,IRON,4,2,3.3,"4,166",1.2
330,LAMB,4,2,5.6,"2,496",0.7
331,LIST,4,2,1.1,"12,221",3.5
332,EAST,4,2,1.3,"10,748",3.1
333,GUN,4,2,0.4,"36,696",10.5
334,LIP,4,2,7.6,"1,838",0.5
335,FAVOR,4,2,1.3,"10,566",3
336,VAN,4,2,1.3,"10,741",3.1
337,WORM,4,2,9.4,"1,483",0.4
338,TABLE,4,2,0.8,"17,120",4.9
339,SPEECH,4,1,2,"7,091",2
340,SWORD,4,1,2.3,"5,965",1.7
341,FEATURE,4,1,11.2,"1,245",0.4
342,FETUS,4,1,58.5,238,0.1
343,LISTENER,4,1,41,340,0.1
344,KNIGHT,4,1,4.9,"2,854",0.8
345,INTEREST,4,1,1.5,"8,993",2.6
346,VICTORY,4,1,2.9,"4,752",1.4
347,TUNNEL,4,1,4.2,"3,318",1
348,GENERATION,4,1,3.7,"3,779",1.1
349,CHAPTER,4,1,5.6,"2,495",0.7
350,BEARD,4,1,5.7,"2,442",0.7
351,LT,4,1,1.1,"13,142",3.8
352,PREMIERE,4,1,22.1,629,0.2
353,PARKING,4,1,3.8,"3,661",1.1
354,SHIELD,4,1,10.2,"1,370",0.4
355,QUEEN,4,1,1,"14,616",4.2
356,SERIES,4,1,2.7,"5,171",1.5
357,SCOPE,4,1,16.1,867,0.2
358,SYSTEM,3,3,0.6,"16,889",4.8
359,TALK,3,3,0.6,"16,370",4.7
360,WARMTH,3,3,11.2,936,0.3
361,TROUBLE,3,3,0.3,"41,117",11.8
362,COMPANY,3,3,0.4,"26,980",7.7
363,COURAGE,3,3,1.9,"5,438",1.6
364,CORNER,3,3,1,"10,623",3.1
365,CHEEK,3,3,6.7,"1,566",0.4
366,CHICK,3,3,2.5,"4,105",1.2
367,CAP,3,3,3.7,"2,829",0.8
368,BREAK,3,3,0.8,"12,752",3.7
369,BUNCH,3,3,0.8,"13,152",3.8
370,BRAIN,3,3,0.8,"13,483",3.9
371,BACHELOR,3,3,7.4,"1,414",0.4
372,ATTACK,3,3,1.1,"9,885",2.8
373,ATTENTION,3,3,0.6,"18,017",5.2
374,ACCIDENT,3,3,0.7,"14,820",4.3
375,GENTLEMAN,3,3,1.1,"9,115",2.6
376,FOOD,3,3,0.3,"32,133",9.2
377,BEGINNING,3,3,1.1,"9,527",2.7
378,DIET,3,3,3.7,"2,840",0.8
379,DECADE,3,3,8.3,"1,257",0.4
380,DISTANCE,3,3,2.2,"4,740",1.4
381,DRIVE,3,3,1.7,"6,123",1.8
382,ELEMENT,3,3,5.9,"1,757",0.5
383,JOB,3,3,0.1,"76,899",22.1
384,INTENT,3,3,16.5,634,0.2
385,DAMAGE,3,3,2.3,"4,469",1.3
386,DEAL,3,3,0.3,"30,525",8.8
387,HOMEWORK,3,3,3.2,"3,232",0.9
388,LOOK,3,3,0.3,"37,120",10.7
389,NEWS,3,3,0.3,"30,881",8.9
390,OPTION,3,3,3.7,"2,853",0.8
391,NEED,3,3,0.8,"13,887",4
392,PRICE,3,3,1,"10,796",3.1
393,PRIVACY,3,3,4.5,"2,297",0.7
394,PRACTICE,3,3,1.2,"8,669",2.5
395,RATE,3,3,2.5,"4,236",1.2
396,PHASE,3,3,4.9,"2,127",0.6
397,PARTNER,3,3,0.9,"11,168",3.2
398,SORT,3,3,0.6,"18,349",5.3
399,SERVICE,3,3,0.7,"14,272",4.1
400,RESERVATION,3,3,5.8,"1,788",0.5
401,REZ,3,2,68.7,152,0
402,ROLE,3,2,2,"5,153",1.5
403,ROMANCE,3,2,3.6,"2,919",0.8
404,SKILL,3,2,5.7,"1,836",0.5
405,SKIN,3,2,1.3,"8,309",2.4
406,PASSAGE,3,2,5.6,"1,880",0.5
407,PAST,3,2,1.1,"9,263",2.7
408,REBELLION,3,2,12.4,843,0.2
409,PERMISSION,3,2,1.8,"5,899",1.7
410,PLEASURE,3,2,0.6,"16,235",4.7
411,POLICE,3,2,0.2,"47,646",13.7
412,PROTECTOR,3,2,14.4,724,0.2
413,NEIGHBOR,3,2,3.2,"3,240",0.9
414,MINE,3,2,0.9,"11,014",3.2
415,MIRROR,3,2,2,"5,259",1.5
416,DEAR,3,2,0.9,"11,254",3.2
417,IMPRINT,3,2,61.1,171,0
418,INFLUENCE,3,2,3.8,"2,763",0.8
419,INTENTION,3,2,4.6,"2,288",0.7
420,EVIDENCE,3,2,0.8,"13,901",4
421,FACT,3,2,0.4,"28,833",8.3
422,LIFESTYLE,3,2,8.8,"1,193",0.3
423,LIVING,3,2,1,"10,256",2.9
424,KNOWLEDGE,3,2,1.9,"5,624",1.6
425,LACK,3,2,3.8,"2,739",0.8
426,BEHAVIOR,3,2,2.9,"3,604",1
427,GRANDCHILD,3,2,39.6,264,0.1
428,GRANDMOTHER,3,2,2.1,"4,970",1.4
429,FOOL,3,2,0.9,"11,803",3.4
430,GROUND,3,2,0.6,"16,907",4.9
431,HEAVEN,3,2,0.7,"14,896",4.3
432,HALL,3,2,1,"10,197",2.9
433,HAPPENING,3,2,5,"2,110",0.6
434,DUDE,3,2,0.4,"28,438",8.2
435,FRICKIN,3,2,22.2,470,0.1
436,GENE,3,2,3.5,"2,965",0.9
437,ALPHA,3,2,4.8,"2,166",0.6
438,AID,3,2,5,"2,096",0.6
439,BEATING,3,2,6.8,"1,545",0.4
440,BEAUTY,3,2,1,"10,182",2.9
441,BRIDE,3,2,2.4,"4,408",1.3
442,CASE,3,2,0.3,"35,582",10.2
443,COUNCIL,3,2,2.8,"3,695",1.1
444,CONVERSATION,3,2,1.3,"7,979",2.3
445,WEATHER,3,2,1.4,"7,622",2.2
446,TRACK,3,2,1.3,"7,916",2.3
447,CLASS,3,2,0.5,"19,663",5.6
448,COLOR,3,2,1.4,"7,600",2.2
449,CONSEQUENCE,3,2,15.1,690,0.2
450,COMPANION,3,2,7.1,"1,478",0.4
451,TEAR,3,2,7.2,"1,454",0.4
452,THEORY,3,2,1.9,"5,439",1.6
453,STRENGTH,3,2,1.3,"8,077",2.3
454,SOUTH,3,2,0.7,"14,846",4.3
455,SPIRIT,3,2,0.9,"11,733",3.4
456,STATE,3,2,0.5,"20,927",6
457,STATION,3,2,0.7,"15,304",4.4
458,TALE,3,2,4,"2,609",0.7
459,TOURIST,3,1,8.3,"1,252",0.4
460,WATERFALL,3,1,21.4,489,0.1
461,CRIME,3,1,0.9,"12,232",3.5
462,BATHROOM,3,1,1,"10,437",3
463,BARRIER,3,1,10.2,"1,029",0.3
464,DWARF,3,1,15.7,664,0.2
465,GUIDANCE,3,1,8.5,"1,222",0.4
466,GROUP,3,1,0.7,"15,322",4.4
467,FESTIVAL,3,1,4.6,"2,279",0.7
468,FLAME,3,1,5.8,"1,808",0.5
469,GRAVE,3,1,2.4,"4,300",1.2
470,INTRUDER,3,1,16.8,623,0.2
471,EXERCISE,3,1,4.3,"2,449",0.7
472,ICE,3,1,0.7,"15,296",4.4
473,HONEYMOON,3,1,3.6,"2,902",0.8
474,HERETIC,3,1,64.9,161,0
475,HERITAGE,3,1,14,745,0.2
476,PROPHECY,3,1,10.7,972,0.3
477,PRISONER,3,1,2.1,"5,029",1.4
478,MOAT,3,1,43.5,240,0.1
479,RAVIOLI,3,1,95,110,0
480,OWNER,3,1,2.4,"4,433",1.3
481,SIR,3,1,0.1,"194,142",55.8
482,SNAKE,3,1,2.3,"4,622",1.3
483,ROOF,2,2,1,"7,092",2
484,ROSE,2,2,0.8,"8,381",2.4
485,SCIENCE,2,2,0.8,"8,647",2.5
486,REVENGE,2,2,1.7,"4,131",1.2
487,ROCK,2,2,0.4,"17,385",5
488,RISK,2,2,1.2,"5,646",1.6
489,RESIDENCE,2,2,4.8,"1,456",0.4
490,SENTENCE,2,2,1.8,"3,825",1.1
491,SCUM,2,2,4,"1,751",0.5
492,SHIFT,2,2,3.1,"2,280",0.7
493,SHIP,2,2,0.4,"17,321",5
494,RESPONSIBILITY,2,2,1,"6,703",1.9
495,RESTRAINT,2,2,19.1,365,0.1
496,SMELL,2,2,1.5,"4,508",1.3
497,PASS,2,2,1.5,"4,746",1.4
498,PATH,2,2,1.2,"5,702",1.6
499,PARALLEL,2,2,37.9,184,0.1
500,PERIOD,2,2,1.1,"6,279",1.8
